OBJECTID|TRIPTYPE|PROVIDERNAME|FAREAMOUNT|GRATUITYAMOUNT|SURCHARGEAMOUNT|EXTRAFAREAMOUNT|TOLLAMOUNT|TOTALAMOUNT|PAYMENTTYPE|ORIGINCITY|ORIGINSTATE|ORIGINZIP|DESTINATIONCITY|DESTINATIONSTATE|DESTINATIONZIP|MILEAGE|DURATION|ORIGIN_BLOCK_LATITUDE|ORIGIN_BLOCK_LONGITUDE|ORIGIN_BLOCKNAME|DESTINATION_BLOCK_LATITUDE|DESTINATION_BLOCK_LONGITUDE|DESTINATION_BLOCKNAME|AIRPORT|ORIGINDATETIME_TR|DESTINATIONDATETIME_TR
376|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 13:00|01/07/2015 13:00
377|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 05:00|01/07/2015 05:00
378|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 08:00|01/07/2015 08:00
379|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 06:00|01/07/2015 06:00
380|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 05:00|01/07/2015 05:00
381|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 07:00|01/07/2015 07:00
382|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 09:00|01/07/2015 09:00
383|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 08:00|01/07/2015 08:00
384|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/07/2015 09:00|01/07/2015 09:00
385|3|Transco|33.00|0.00|0.00|0.00|0.00|33.00|2|NULL|NULL|00000|NULL|NULL|00000|NULL|NULL|||||||N|01/09/2015 05:00|01/09/2015 05:00
